nom,liens,disponibiliter,prix_regulier,remis_aditionnelle,10,100,200,400,EAN / GTIN,Poids - g,Marque,Model,Taille de la batterie,Batterie chimique,Batterie,Tension nominale,capaciter_ah,Version batterie,Courant de décharge - A,Protection des circuits,Hauteur - mm,Diamètre - mm,30,20,130,390,260,50,128,256,512,60,Inclus,25,125,250,600,520
Samsung INR21700-48X 4650mAh - 9.6A CLEAR WRAP,https://www.nkon.nl/fr/rechargeable/li-ion/21700-20700-size/samsung-inr21700-48x-4650mah-9-6a-clear.html,True,3.85,True,,,,,7417940528151,69.0,Samsung,,21700.0,Li-ion,Rechargeable,3.6,4.65,Haut plat,9.6,Non protégé,"71,00",21.0,3.75,,3.45,3.15,3.25,,,,,,,,,,,
Olight 21700 5000mAh batterie pour Seeker 2 Pro,https://www.nkon.nl/fr/rechargeable/li-ion/21700-20700-size/olight-21700-5000mah-accu-voor-seeker-2-pro.html,True,29.95,False,,,,,8716961105273,82.0,Olight,ORB-217C50,21700.0,Li-ion,Rechargeable,3.6,5.0,Bouton haut,15.0,Protégé,"74,00",22.0,,,,,,,,,,,,,,,,
Samsung INR21700-48X 4650mAh - 9.6A ,https://www.nkon.nl/fr/rechargeable/li-ion/21700-20700-size/samsung-inr21700-48x-4650mah-9-6a-wrap.html,False,5.75,True,,,,,7417940528243,69.0,Samsung,,21700.0,Li-ion,Rechargeable,3.6,4.65,Haut plat,9.6,Non protégé,"71,00",21.0,5.35,,4.95,4.45,,,,,,,,,,,,
XTAR 21700 4900mAh (protégé) - 10A,https://www.nkon.nl/fr/rechargeable/li-ion/21700-20700-size/xtar-21700-4900-mah-protected-10a.html,True,11.95,False,,,,,6952918343912,72.0,Xtar,,21700.0,Li-ion,Rechargeable,3.6,4.9,Bouton haut,10.0,Protégé,"74,60",21.0,,,,,,,,,,,,,,,,
XTAR 21700 5000mAh (protégé) - 10A,https://www.nkon.nl/fr/rechargeable/li-ion/21700-20700-size/xtar-21700-5000-mah-protected-10a.html,True,14.95,False,,,,,6952918341635,73.0,Xtar,,21700.0,Li-ion,Rechargeable,3.6,5.0,Bouton haut,10.0,Protégé,"74,70",21.5,,,,,,,,,,,,,,,,
Sanyo NCR2070C 20700 3500mAh - 30A CLEAR WRAP,https://www.nkon.nl/fr/rechargeable/li-ion/21700-20700-size/sanyo-ncr2070c-clear.html,True,3.55,True,3.45,3.25,,,7417940530031,60.0,Sanyo,,20700.0,Li-ion,Rechargeable,3.6,3.5,Haut plat,30.0,Non protégé,"70,30",20.35,,,,,,3.35,,,,,,,,,,
Nitecore 21700 NL2142LTHPR USB 4200mAh - 15A,https://www.nkon.nl/fr/rechargeable/li-ion/21700-20700-size/nitecore-21700-nl2142lthpr-4200-15a.html,True,23.95,False,,,,,6952506494637,83.0,Nitecore,,21700.0,Li-ion,Rechargeable,3.6,4.2,"Bouton haut, Basse température, USB",15.0,Protégé,"76,80",22.3,,,,,,,,,,,,,,,,
Tenpower INR21700-40TG 4000mAh - 45A,https://www.nkon.nl/fr/rechargeable/li-ion/21700-20700-size/tenpower-inr21700-40tg-45a.html,False,4.25,True,3.95,,,,7417940529738,67.0,Tenpower,INR21700-40TG,21700.0,Li-ion,Rechargeable,3.6,4.0,Haut plat,45.0,Non protégé,"70,00",21.1,,,3.45,3.3,,,,,,3.75,,,,,,
Samsung INR21700-40T (40T3) 4000mAh - 35A - remis à neuf,https://www.nkon.nl/fr/rechargeable/li-ion/21700-20700-size/samsung-inr21700-40t-40t3-4000mah-35a-reclaimed.html,False,3.65,True,3.45,2.95,2.9,,7417940530130,67.0,Samsung,INR21700-40T,21700.0,Li-ion,Rechargeable,3.6,4.0,"récupéré, Haut plat",35.0,Non protégé,"70,10",21.0,3.25,,,,,,,,,3.05,,,,,,
Molicel INR21700-P45B 4500mAh - 45A,https://www.nkon.nl/fr/rechargeable/li-ion/21700-20700-size/molicel-inr21700-p45b-4500mah-45a.html,False,8.95,False,,,,,7417940528847,68.0,Molicel,INR21700-P45B,21700.0,Li-ion,Rechargeable,3.6,4.5,Haut plat,45.0,Non protégé,"70,20",21.7,,,,,,,,,,,,,,,,
