nom,liens,disponibiliter,prix_regulier,remis_aditionnelle,EAN / GTIN,Poids - g,Marque,Model,Taille de la batterie,Batterie chimique,Batterie,Tension nominale,capaciter_ah,Version batterie,Courant de décharge - A,Protection des circuits,Hauteur - mm,Diamètre - mm,10,40,100,200,600,30,180,540,360,50,Inclus,400,300,20,2,90,60,165,495,35
Nitecore 18650 NL1835RX USB 3500mAh (protected) - 2A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/nitecore-18650-nl1835rx-usb-3500mah-2a.html,False,23.95,False,6952506495528,45.6,Nitecore,NL1835RX,18650.0,Li-ion,Rechargeable,3.6,3.5,"Bouton haut, USB",2.0,Protégé,"69,30",18.7,,,,,,,,,,,,,,,,,,,,
BAK N18650CP 3350mAh - 6.5A - Lot mixte,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/bak-n18650cp-3350mah-6-5a-mixed-batches.html,False,2.99,True,7417940531090,48.0,BAK,N18650CP,18650.0,Li-ion,Rechargeable,3.6,3.35,Haut plat,6.5,Non protégé,"64,85",18.35,2.85,,2.65,2.6,2.5,,,,,2.75,,,,,,,,,,
Tenpower INR18650-28HE 2800mAh - 10A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/tenpower-inr18650-28he-2800mah-10a.html,False,2.75,True,7417940529394,46.0,Tenpower,INR18650-28HE,18650.0,Li-ion,Rechargeable,3.6,2.8,Haut plat,10.0,Non protégé,"65,50",18.5,2.18,,1.97,1.87,1.82,,,,,,,,,,,,,,,
Sony / Murata US18650VTC5C 2500mAh - 30A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/sony-murata-us18650vtc5c-2500mah-30a.html,False,4.45,True,7417940529356,46.0,Sony / Murata,US18650VTC5C,18650.0,Li-ion,Rechargeable,3.6,2.5,Haut plat,30.0,Non protégé,"65,00",18.4,4.25,,,,3.75,,,,,3.95,,,3.85,,,,,,,
Sinowatt SW18650-30SP 2900mAh - 15A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/sinowatt-sw18650-30sp-2900mah-15a.html,False,3.35,True,7417940527932,49.0,Sinowatt,SW18650-30SP,18650.0,Li-ion,Rechargeable,3.6,2.9,Haut plat,15.0,Non protégé,"65,20",18.5,,,3.1,2.95,2.75,3.3,,,,,,,,,,,,,,
XTAR 18650 3300mAh (protected) - 10A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/xtar-18650-3300mah-protected-10a.html,False,8.45,True,7417940528281,51.0,Xtar,,18650.0,Li-ion,Rechargeable,3.6,3.3,Bouton haut,10.0,Protégé,"68,80",18.4,8.25,,,,,,,,,,,,,7.95,,,,,,
Molicel INR18650-P26A 2600mAh - 35A button top,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/molicel-inr18650-p26a-2600mah-35a-button-top.html,True,5.95,False,7417940529226,51.0,Molicel,INR-18650-P26A,18650.0,Li-ion,Rechargeable,3.6,2.6,Bouton haut,35.0,Non protégé,"66,60",18.4,,,,,,,,,,,,,,,,,,,,
Molicel INR18650-P28A 2800mAh - 35A button top,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/molicel-inr18650-p28a-2800mah-35a-button-top.html,False,7.49,False,7417940524108,51.0,Molicel,INR-18650-P28A,18650.0,Li-ion,Rechargeable,3.6,2.8,Bouton haut,35.0,Non protégé,"66,90",18.6,,,,,,,,,,,,,,,,,,,,
Tenpower ICR18650-20SG 2000mAh - 30A - remis à neuf,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/tenpower-icr18650-2000mah-30a-refurbished.html,True,1.95,True,7417940527963,45.0,Tenpower,ICR18650,18650.0,Li-ion,Rechargeable,3.6,2.0,"récupéré, Haut plat",30.0,Non protégé,"65,50",18.5,1.75,,1.65,1.55,1.45,,,,,,,,,,,,,,,
Lishen LR1865HB 3350mAh - 6.7A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/lishen-lr1865hb-3350mah-6-7a.html,True,3.55,True,7417940528618,48.0,Lishen,LR1865HB,18650.0,Li-ion,Rechargeable,3.6,3.35,Haut plat,10.0,Non protégé,"65,00",18.2,3.35,,3.1,,2.95,,,,,,,,,,,,,,,
EVE INR18650-25P 2500mAh - 20A (Marque TerraE),https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/eve-inr18650-25p-2500mah-20a-terrae.html,True,,False,7417940528724,44.5,EVE,INR18650-25P,18650.0,Li-ion,Rechargeable,3.6,2.5,Haut plat,20.0,Non protégé,"65,00",18.35,,,,,,,,,,,,,,,,,,,,
Lishen LR1865SS 2900mAh - 6A (Label TerraE),https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/lishen-lr1865ss-2900mah-6a-terrae-label.html,False,2.95,True,7417940528731,48.0,Lishen,INR18650-30E,18650.0,Li-ion,Rechargeable,3.6,2.9,Haut plat,6.0,Non protégé,"65,00",18.2,,,,2.65,2.2,,,,,,,2.3,,,,,,,,
Sanyo NCR18650GA 3350mAh - 10A - JP,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/sanyo-18650ga-4893.html,True,4.25,True,8438493103540,48.0,Sanyo,NCR18650GA,18650.0,Li-ion,Rechargeable,3.6,3.35,Haut plat,10.0,Non protégé,"65,10",18.3,,,,,,3.93,3.83,3.68,,,,,,,,,,,,
Aspilsan INR18650-A28 2800mAh - 15A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/aspilsan-inr18650-a28-2800-mah-15a.html,False,2.95,True,7417940531182,45.0,Aspilsan,A28,18650.0,Li-ion,Rechargeable,3.6,2.8,,15.0,Non protégé,"65,00",18.3,,,2.55,2.45,2.4,,,,,2.75,,,,,,,,,,
Olight 18650 3500mAh batterie pour S30RIII,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/olight-18650-3500mah-s30riii.html,False,25.95,True,6926540927284,47.0,Olight,ORB-186C35,18650.0,Li-ion,Rechargeable,3.6,3.5,Haut plat,10.0,Protégé,"68,00",18.0,,,,,,,,,,,,,,,23.95,,,,,
Sanyo UR18650SA 1200mAh - 18A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/sanyo-ur18650sa-1200mah-18a.html,True,,False,7417940523613,42.0,Sanyo,,18650.0,Li-ion,Rechargeable,3.6,1.2,Haut plat,18.0,Non protégé,"64,80",18.1,,,,,,,,,,,,,,,,,,,,
XTAR 18650 2600mAh (protégé) - 5.2A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/xtar-18650-2600mah-protected.html,False,6.95,True,7417940526287,47.0,Xtar,,18650.0,Li-ion,Rechargeable,3.6,2.6,Bouton haut,5.2,Protégé,"68,50",18.4,6.75,,,,,,,,,,,,,6.45,,,,,,
XTAR 18650 3500mAh (protégé) - 10A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/xtar-18650-3500-protected-10a.html,False,13.95,True,0666111043420,51.0,Xtar,,18650.0,Li-ion,Rechargeable,3.6,3.5,Bouton haut,10.0,Protégé,"68,80",18.4,12.95,,,,,,,,,,,,,12.45,,,,,,
LG ICR18650-HB3 1500mAh - 22A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/lg-icr18650-hb3.html,True,2.25,True,7417940523934,46.0,LG,LGDAHB31865,18650.0,Li-ion,Rechargeable,3.6,1.5,Haut plat,22.0,Non protégé,"65,00",18.3,,,,,,,,,,1.84,,,,,,,,,,
Sony / Murata US18650VTC5D 2800mAh - 35A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/sony-murata-us18650vtc5d-2800mah-25a.html,False,5.65,True,7417940523965,47.0,Sony / Murata,US18650VTC5D,18650.0,Li-ion,Rechargeable,3.6,2.8,Haut plat,35.0,Non protégé,"65,25",18.35,5.35,,5.15,,4.95,,,,,5.25,,,5.05,,,,,,,
LG INR18650-M29 2850mAh - 10A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/lg-inr18650-m29-2850mah-10a.html,False,2.75,True,7417940524771,48.0,LG,INR18650M29,18650.0,Li-ion,Rechargeable,3.6,2.75,Haut plat,10.0,Non protégé,"65,20",18.4,,2.55,2.31,2.21,2.15,,,,,,,,,,,,,,,
Molicel INR18650-P28A 2800mAh - 35A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/molicel-inr18650-p28a-2800mah-35a.html,False,5.45,True,7417940524108,46.0,Molicel,INR-18650-P28A,18650.0,Li-ion,Rechargeable,3.6,2.8,Haut plat,35.0,Non protégé,"65,20",18.6,4.95,,4.55,4.25,4.15,,,,,,,,,,,,,,,
